task_id	hash	native_id	process	tag	name	status	exit	module	container	cpus	time	disk	memory	attempt	submit	start	complete	duration	realtime	queue	%cpu	%mem	rss	vmem	peak_rss	peak_vmem	rchar	wchar	syscr	syscw	read_bytes	write_bytes
11	f4/73d6ba	18862	AutomatedWindowSlidingWorkflow:AutomatedWindowSliding:IQTREE2	-	AutomatedWindowSlidingWorkflow:AutomatedWindowSliding:IQTREE2 (8)	COMPLETED	0	-	quay.io/biocontainers/iqtree:2.2.6--h21ec9f0_0	4	4h	-	6 GB	1	2025-06-22 19:01:05.108	2025-06-22 19:01:05.209	2025-06-22 19:01:27.264	22.2s	22s	-	-	-	-	-	-	-	-	-	-	-	-	-
12	38/5cd80e	19022	AutomatedWindowSlidingWorkflow:AutomatedWindowSliding:IQTREE2	-	AutomatedWindowSlidingWorkflow:AutomatedWindowSliding:IQTREE2 (9)	COMPLETED	0	-	quay.io/biocontainers/iqtree:2.2.6--h21ec9f0_0	4	4h	-	6 GB	1	2025-06-22 19:01:26.944	2025-06-22 19:01:27.043	2025-06-22 19:01:51.441	24.5s	25s	-	-	-	-	-	-	-	-	-	-	-	-	-
7	b6/c19546	19056	AutomatedWindowSlidingWorkflow:AutomatedWindowSliding:IQTREE2	-	AutomatedWindowSlidingWorkflow:AutomatedWindowSliding:IQTREE2 (4)	COMPLETED	0	-	quay.io/biocontainers/iqtree:2.2.6--h21ec9f0_0	4	4h	-	6 GB	1	2025-06-22 19:01:27.267	2025-06-22 19:01:27.369	2025-06-22 19:01:51.740	24.5s	24s	-	-	-	-	-	-	-	-	-	-	-	-	-
4	e4/644540	19270	AutomatedWindowSlidingWorkflow:AutomatedWindowSliding:IQTREE2	-	AutomatedWindowSlidingWorkflow:AutomatedWindowSliding:IQTREE2 (1)	COMPLETED	0	-	quay.io/biocontainers/iqtree:2.2.6--h21ec9f0_0	4	4h	-	6 GB	1	2025-06-22 19:01:51.743	2025-06-22 19:01:51.843	2025-06-22 19:02:14.340	22.6s	23s	-	-	-	-	-	-	-	-	-	-	-	-	-
15	28/3a2ba3	19247	AutomatedWindowSlidingWorkflow:AutomatedWindowSliding:IQTREE2	-	AutomatedWindowSlidingWorkflow:AutomatedWindowSliding:IQTREE2 (12)	COMPLETED	0	-	quay.io/biocontainers/iqtree:2.2.6--h21ec9f0_0	4	4h	-	6 GB	1	2025-06-22 19:01:51.454	2025-06-22 19:01:51.544	2025-06-22 19:02:18.389	26.9s	27s	-	-	-	-	-	-	-	-	-	-	-	-	-
16	fd/36e223	19477	AutomatedWindowSlidingWorkflow:AutomatedWindowSliding:IQTREE2	-	AutomatedWindowSlidingWorkflow:AutomatedWindowSliding:IQTREE2 (13)	COMPLETED	0	-	quay.io/biocontainers/iqtree:2.2.6--h21ec9f0_0	4	4h	-	6 GB	1	2025-06-22 19:02:14.354	2025-06-22 19:02:14.441	2025-06-22 19:02:49.439	35.1s	35s	-	-	-	-	-	-	-	-	-	-	-	-	-
17	6f/c64782	19526	AutomatedWindowSlidingWorkflow:AutomatedWindowSliding:IQTREE2	-	AutomatedWindowSlidingWorkflow:AutomatedWindowSliding:IQTREE2 (14)	COMPLETED	0	-	quay.io/biocontainers/iqtree:2.2.6--h21ec9f0_0	4	4h	-	6 GB	1	2025-06-22 19:02:18.392	2025-06-22 19:02:18.490	2025-06-22 19:03:00.065	41.7s	42s	-	-	-	-	-	-	-	-	-	-	-	-	-
18	b1/d0d917	19737	AutomatedWindowSlidingWorkflow:AutomatedWindowSliding:IQTREE2	-	AutomatedWindowSlidingWorkflow:AutomatedWindowSliding:IQTREE2 (15)	COMPLETED	0	-	quay.io/biocontainers/iqtree:2.2.6--h21ec9f0_0	4	4h	-	6 GB	1	2025-06-22 19:02:49.444	2025-06-22 19:02:49.544	2025-06-22 19:03:16.184	26.7s	27s	-	-	-	-	-	-	-	-	-	-	-	-	-
19	24/d765d2	19825	AutomatedWindowSlidingWorkflow:AutomatedWindowSliding:IQTREE2	-	AutomatedWindowSlidingWorkflow:AutomatedWindowSliding:IQTREE2 (16)	COMPLETED	0	-	quay.io/biocontainers/iqtree:2.2.6--h21ec9f0_0	4	4h	-	6 GB	1	2025-06-22 19:03:00.073	2025-06-22 19:03:00.170	2025-06-22 19:03:22.871	22.8s	22s	-	-	-	-	-	-	-	-	-	-	-	-	-
20	06/29cf37	19943	AutomatedWindowSlidingWorkflow:AutomatedWindowSliding:IQTREE2	-	AutomatedWindowSlidingWorkflow:AutomatedWindowSliding:IQTREE2 (17)	COMPLETED	0	-	quay.io/biocontainers/iqtree:2.2.6--h21ec9f0_0	4	4h	-	6 GB	1	2025-06-22 19:03:16.187	2025-06-22 19:03:16.287	2025-06-22 19:03:47.569	31.4s	31s	-	-	-	-	-	-	-	-	-	-	-	-	-
21	c5/dda7cc	20004	AutomatedWindowSlidingWorkflow:AutomatedWindowSliding:IQTREE2	-	AutomatedWindowSlidingWorkflow:AutomatedWindowSliding:IQTREE2 (18)	COMPLETED	0	-	quay.io/biocontainers/iqtree:2.2.6--h21ec9f0_0	4	4h	-	6 GB	1	2025-06-22 19:03:22.874	2025-06-22 19:03:22.977	2025-06-22 19:03:47.670	24.8s	25s	-	-	-	-	-	-	-	-	-	-	-	-	-
22	4a/5fc55b	20176	AutomatedWindowSlidingWorkflow:AutomatedWindowSliding:IQTREE2	-	AutomatedWindowSlidingWorkflow:AutomatedWindowSliding:IQTREE2 (19)	COMPLETED	0	-	quay.io/biocontainers/iqtree:2.2.6--h21ec9f0_0	4	4h	-	6 GB	1	2025-06-22 19:03:47.571	2025-06-22 19:03:47.670	2025-06-22 19:04:12.155	24.6s	25s	-	-	-	-	-	-	-	-	-	-	-	-	-
23	22/5810df	20199	AutomatedWindowSlidingWorkflow:AutomatedWindowSliding:IQTREE2	-	AutomatedWindowSlidingWorkflow:AutomatedWindowSliding:IQTREE2 (20)	COMPLETED	0	-	quay.io/biocontainers/iqtree:2.2.6--h21ec9f0_0	4	4h	-	6 GB	1	2025-06-22 19:03:47.672	2025-06-22 19:03:47.773	2025-06-22 19:04:13.856	26.2s	26s	-	-	-	-	-	-	-	-	-	-	-	-	-
25	59/a3a0a8	20432	AutomatedWindowSlidingWorkflow:AutomatedWindowSliding:BACKBONE_MIDPOINT_ROOTING	276	AutomatedWindowSlidingWorkflow:AutomatedWindowSliding:BACKBONE_MIDPOINT_ROOTING (276)	COMPLETED	0	-	-	1	4h	-	6 GB	1	2025-06-22 19:04:13.860	2025-06-22 19:04:13.959	2025-06-22 19:04:14.375	515ms	1s	-	-	-	-	-	-	-	-	-	-	-	-	-
26	b6/3eb4a9	20478	AutomatedWindowSlidingWorkflow:AutomatedWindowSliding:MAD_ROOTING	276.fasta	AutomatedWindowSlidingWorkflow:AutomatedWindowSliding:MAD_ROOTING (276.fasta)	COMPLETED	0	-	quay.io/biocontainers/rootdigger:1.0.3--h9ee0642_0	1	4h	-	6 GB	1	2025-06-22 19:04:14.378	2025-06-22 19:04:14.480	2025-06-22 19:04:14.656	278ms	0ms	-	-	-	-	-	-	-	-	-	-	-	-	-
27	c4/fdbb18	20508	AutomatedWindowSlidingWorkflow:AutomatedWindowSliding:BACKBONE_MIDPOINT_ROOTING	201	AutomatedWindowSlidingWorkflow:AutomatedWindowSliding:BACKBONE_MIDPOINT_ROOTING (201)	COMPLETED	0	-	-	1	4h	-	6 GB	1	2025-06-22 19:04:14.658	2025-06-22 19:04:14.757	2025-06-22 19:04:14.807	149ms	0ms	-	-	-	-	-	-	-	-	-	-	-	-	-
